Spawns
41021	Lynsalai_T`Nyal	Town Crier	41021	3118	1	100	2740
41003	Mignar_Mi`Draskch	Wizard Spells	41003	3136	1	100	2722
41092	Treven_Ru`Soe	Smithing Supplies	41092	5786	1	100	2816

Merchant Lists
'41013', 'Cizzar_J`Axx', 'Song: Selo\'s Accelerando', '41013', '16', '15717', '-1100', '0', '0', '65535', '100', '0', '99'

'41068', 'Dianax_C`Luzz', 'Shadewood Bow Staff', '41068', '11', '10917', '-1100', '0', '0', '65535', '100', '0', '99'

'41007', 'Dissa_C`Luzz', 'Spell: Lesser Evacuate', '41007', '12', '23486', '-1100', '0', '0', '65535', '100', '0', '99'
'41007', 'Dissa_C`Luzz', 'Spell: Shielding', '41007', '7', '15309', '-1100', '0', '0', '65535', '100', '0', '99'

'41094', 'Garren_D`Vek', 'Book Binding', '41094', '3', '45923', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Compacted Backpack', '41094', '7', '81692', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Cord Filament', '41094', '8', '34486', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Crude Adamantite Thread', '41094', '9', '34256', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Crude Filament', '41094', '10', '34482', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Ductile Adamantite Thread', '41094', '11', '34301', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Fair Adamantite Thread', '41094', '12', '34271', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Fiber Filament', '41094', '13', '34487', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Fine Filament', '41094', '14', '34491', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Indurate Adamantite Thread', '41094', '18', '34331', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Large Bottle of Ink', '41094', '19', '38334', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Large Spool of Adamantite Thread', '41094', '21', '38397', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Belt Template Pattern', '41094', '22', '34516', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Boots Template Pattern', '41094', '23', '34521', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Cloak Template Pattern', '41094', '24', '34515', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Gloves Template Pattern', '41094', '25', '34519', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Gorget Template Pattern', '41094', '26', '34512', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Leggings Template Pattern', '41094', '27', '34520', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Mask Template Pattern', '41094', '28', '34511', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Shoulderpads Template Pattern', '41094', '29', '34514', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Skullcap Template Pattern', '41094', '30', '34510', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Sleeves Template Pattern', '41094', '31', '34517', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Tunic Template Pattern', '41094', '32', '34513', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Leather Wristbands Template Pattern', '41094', '33', '34518', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Malleable Adamantite Thread', '41094', '34', '34286', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Mythical Filament', '41094', '36', '34494', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Ossified Adamantite Thread', '41094', '37', '34316', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Plain Filament', '41094', '39', '34483', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Reel of Adamantite Thread', '41094', '42', '38398', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Refractory Adamantite Thread', '41094', '43', '34346', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Roll of Good Quality Vellum', '41094', '45', '38337', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Roll of High Quality Vellum', '41094', '46', '38338', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Roll of Plain Parchment', '41094', '47', '38335', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Roll of Superb Vellum', '41094', '48', '38339', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Roll of Vellum', '41094', '49', '38336', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Belt Template Pattern', '41094', '51', '34504', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Boot Template Pattern', '41094', '52', '34509', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Cap Template Pattern', '41094', '53', '34497', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Cloak Template Pattern', '41094', '54', '34503', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Curing Chemicals', '41094', '55', '34548', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Filament', '41094', '56', '34492', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Glove Template Pattern', '41094', '57', '34507', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Gorget Template Pattern', '41094', '58', '34499', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Mask Template Pattern', '41094', '59', '34498', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Pant Template Pattern', '41094', '60', '34508', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Robe Template Pattern', '41094', '61', '34501', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Shoulderpad Template Pattern', '41094', '62', '34502', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Sleeve Template Pattern', '41094', '63', '34505', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Tunic Template Pattern', '41094', '64', '34500', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Silk Wristband Template Pattern', '41094', '65', '34506', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Simple Sewing Needle', '41094', '66', '34914', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Small Spool of Adamantite Thread', '41094', '68', '38396', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Soft Filament', '41094', '69', '34490', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Strand Filament', '41094', '70', '34493', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'String Filament', '41094', '71', '34488', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Tanning Chemicals', '41094', '72', '34547', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Thread Filament', '41094', '73', '34485', '-1100', '0', '0', '65535', '100', '0', '99'
'41094', 'Garren_D`Vek', 'Twisted Filament', '41094', '75', '34484', '-1100', '0', '0', '65535', '100', '0', '99'

'41023', 'Genzal_R`Jyen', 'Aquamarine', '41023', '1', '16017', '-1100', '0', '0', '65535', '100', '0', '99'
'41023', 'Genzal_R`Jyen', 'Broken Block of Ore', '41023', '2', '16013', '-1100', '0', '0', '65535', '100', '0', '99'
'41023', 'Genzal_R`Jyen', 'Water of Povar', '41023', '18', '16014', '-1100', '0', '0', '65535', '100', '0', '99'

'41064', 'Issva_H`Rugla', 'Blessed Water of Innoruuk', '41064', '5', '81826', '-1100', '0', '0', '65535', '100', '0', '99'
'41064', 'Issva_H`Rugla', 'Blessed Water of Rallos Zek', '41064', '6', '81821', '-1100', '0', '0', '65535', '100', '0', '99'
'41064', 'Issva_H`Rugla', 'Water of the Skeptic', '41064', '14', '81837', '-1100', '0', '0', '65535', '100', '0', '99'

'41040', 'Marza_T`Kix', 'Arnworth', '41040', '1', '93172', '-1100', '0', '0', '65535', '100', '0', '99'
'41040', 'Marza_T`Kix', 'Cententialspore', '41040', '3', '93170', '-1100', '0', '0', '65535', '100', '0', '99'
'41040', 'Marza_T`Kix', 'Gerti Blossom', '41040', '10', '93169', '-1100', '0', '0', '65535', '100', '0', '99'
'41040', 'Marza_T`Kix', 'Katuka Bark', '41040', '12', '93171', '-1100', '0', '0', '65535', '100', '0', '99'
'41040', 'Marza_T`Kix', 'Small Vial', '41040', '18', '93167', '-1100', '0', '0', '65535', '100', '0', '99'
'41040', 'Marza_T`Kix', 'Tregrum', '41040', '20', '93168', '-1100', '0', '0', '65535', '100', '0', '99'

'41087', 'Niz_L`Crit', 'Ice Cream is Good - Part 1', '41087', '5', '75845', '-1100', '0', '0', '65535', '100', '0', '99'
'41087', 'Niz_L`Crit', 'Ice Cream is Good - Part 2', '41087', '6', '75846', '-1100', '0', '0', '65535', '100', '0', '99'

'41093', 'Trista_N`Ryt', 'Bearing Mold', '41093', '1', '72054', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Bolt Mold', '41093', '3', '72017', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Bongor\'s Guide to Discordian Skins', '41093', '4', '75854', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Compacted Backpack', '41093', '5', '81692', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Crude Adamantite', '41093', '6', '34362', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Ductile Adamantite', '41093', '7', '34410', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Fair Adamantite', '41093', '8', '34378', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Huge Block of Clay', '41093', '10', '38340', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Huge Block of Good Quality Red Clay', '41093', '11', '38342', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Huge Block of High Quality Red Clay', '41093', '12', '38343', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Huge Block of Red Clay', '41093', '13', '38341', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Huge Block of Superb Red Clay', '41093', '14', '38344', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Indurate Adamantite', '41093', '15', '34442', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Malleable Adamantite', '41093', '17', '34394', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Ossified Adamantite', '41093', '18', '34426', '-1100', '0', '0', '65535', '100', '0', '99'
