Remove spawn entry 42104, make 42087 100% spawn chance
'42104', 'Kristiana_N`Ryt', '', '999999', '7581', '1', '50', '10413'
'42087', 'Krystiana_N`Ryt', 'Smithing Supplies', '42087', '7581', '1', '50', '10413'

Merchant Lists
'42023', 'Camor_V`Retta', 'Malachite', '42023', '15', '10015', '-1100', '0', '0', '65535', '100', '0', '99'

'42086', 'Draan_N`Ryt', 'Anthracite Coal', '42086', '1', '34478', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Bituminous Coal', '42086', '2', '34479', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Black Nitrous Coal', '42086', '3', '34475', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Breastplate Template Mold', '42086', '5', '34537', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Brimstone Coal', '42086', '6', '34480', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Brown Coal', '42086', '7', '34470', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Brown Nitrous Coal', '42086', '8', '34473', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Arms Template Pattern', '42086', '9', '34529', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Belt Template Pattern', '42086', '10', '34528', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Boots Template Pattern', '42086', '12', '34533', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Bracer Template Pattern', '42086', '14', '34530', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Chestguard Template Pattern', '42086', '15', '34525', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Cloak Template Pattern', '42086', '17', '34527', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Coif Template Pattern', '42086', '19', '34522', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Collar Template Pattern', '42086', '20', '34524', '-1100', '0', '0', '65535', '100', '0', '99'
