Spawns
'49089', 'Brogdog', 'Beastlord Spells', '49089', '7608', '1', '100', '10522'
'49024', 'Gralbug', 'Smithing Supplies', '49024', '3433', '1', '100', '10457'
'49073', 'Klob_Pulp', 'Town Crier', '49073', '7592', '1', '100', '10506'
'49125', 'Kulver', '', '999999', '7615', '1', '100', '10528'
'49085', 'Murak', '', '413032', '7604', '1', '100', '10518'
'49081', 'Rognok', 'Beastlord Spells', '49081', '7600', '1', '100', '10514'
'49091', 'Sheerie_Oglarum', 'Berserker Tomes', '49091', '7610', '1', '100', '10524'

Merchant Lists
'49061', 'Brokk_Boxtripper', 'Black Ceremonial Coffin', '49061', '3', '28880', '-1100', '0', '0', '65535', '100', '0', '99'

'49049', 'Clurg', 'Flaming Clurg', '49049', '4', '13381', '-1100', '0', '0', '65535', '100', '0', '99'

'49048', 'Garakbar', 'Blue Nightwort', '49048', '5', '45223', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Fine Potion Vial', '49048', '10', '95846', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Gemmed Potion Vial', '49048', '11', '95847', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Marsh Algae', '49048', '15', '45224', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Measure of Wolf Blood', '49048', '16', '95989', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Nettle Creeper', '49048', '19', '45222', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Notes of Jonas', '49048', '21', '96939', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Plain Potion Vial', '49048', '22', '95844', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Smooth Potion Vial', '49048', '24', '95845', '-1100', '0', '0', '65535', '100', '0', '99'
'49048', 'Garakbar', 'Storm Cloud', '49048', '25', '45216', '-1100', '0', '0', '65535', '100', '0', '99'

'49077', 'Gretamog', 'Cord Filament', '49077', '6', '34486', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Crude Cold Iron Thread', '49077', '7', '34254', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Crude Filament', '49077', '8', '34482', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Ductile Cold Iron Thread', '49077', '9', '34299', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Fair Cold Iron Thread', '49077', '10', '34269', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Fiber Filament', '49077', '11', '34487', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Fine Filament', '49077', '12', '34491', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Indurate Cold Iron Thread', '49077', '16', '34329', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Large Spool of Adamantite Thread', '49077', '18', '38397', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Belt Template Pattern', '49077', '19', '34516', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Boots Template Pattern', '49077', '20', '34521', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Cloak Template Pattern', '49077', '21', '34515', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Gloves Template Pattern', '49077', '22', '34519', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Gorget Template Pattern', '49077', '23', '34512', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Leggings Template Pattern', '49077', '24', '34520', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Mask Template Pattern', '49077', '25', '34511', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Shoulderpads Template Pattern', '49077', '26', '34514', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Skullcap Template Pattern', '49077', '27', '34510', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Sleeves Template Pattern', '49077', '28', '34517', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Tunic Template Pattern', '49077', '29', '34513', '-1100', '0', '0', '65535', '100', '0', '99'
