Spawns
75113	Henly_Nictropus	Town Crier	75113	11545	1	100	18185
75139	Toryn_Roltaire		9145	11551	1	100	18191

Mercjhant Lists
'75078', 'Dannis_Faleet', 'Bracelet Mold', '75078', '1', '37799', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Delicate Gem Glue Solvent', '75078', '3', '37958', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Dragon Rune Sketch', '75078', '4', '35960', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Earring Mold', '75078', '5', '37800', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Embossing Sketch', '75078', '7', '35957', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Fine Sand', '75078', '9', '95836', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Gold Embossing', '75078', '12', '35958', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Grinding Powder', '75078', '15', '95837', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Half-Moon Cut Earring Jewelry Mold', '75078', '16', '95815', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Half-Moon Cut Pendant Jewelry Mold', '75078', '17', '95822', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Half-Moon Cut Ring Jewelry Mold', '75078', '18', '95808', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Large Gem Glue Solvent', '75078', '22', '37957', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Marquise Cut Earring Jewelry Mold', '75078', '24', '95818', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Marquise Cut Pendant Jewelry Mold', '75078', '25', '95825', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Marquise Cut Ring Jewelry Mold', '75078', '26', '95811', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Oval Cut Earring Jewelry Mold', '75078', '27', '95814', '-1100', '0', '0', '65535', '100', '0', '99'
